Name	Description	IP Address	Mac Address	Type of Address	Wake on LAN	Wake Verified	OS	LabVIEW Ver.	Automatic Logon	Remote Shutdown	Shutdown Verified
loflip1	Laser Bay 1-wire flipper	192.168.12.76	00-19-d1-e0-ed-89	dynamic	Enabled	passed	XP	8.2	.	.	.
.	.	192.168.12.107	00-08-74-41-d6-82	dynamic	.	.	.	.	.	.	.
.	.	192.168.12.167	00-24-7e-e0-e3-fd	dynamic	.	.	.	.	.	.	.
quad-control-2		192.168.12.195	00-22-19-21-f0-2b	dynamic	Enabled	passed	XP	.	.	.	.
.	.	192.168.12.203	00-30-48-ba-7b-73	dynamic	.	.	.	.	.	.	.
.	.	192.168.15.255	ff-ff-ff-ff-ff-ff	static	.	.	.	.	.	.	.
.	.	224.0.0.2	01-00-5e-00-00-02	static	.	.	.	.	.	.	.
.	.	224.0.0.22	01-00-5e-00-00-16	static	.	.	.	.	.	.	.
.	.	224.0.0.251	01-00-5e-00-00-fb	static	.	.	.	.	.	.	.
.	.	224.0.0.252	01-00-5e-00-00-fc	static	.	.	.	.	.	.	.
.	.	224.1.0.38	01-00-5e-01-00-26	static	.	.	.	.	.	.	.
.	.	239.255.255.250	01-00-5e-7f-ff-fa	static	.	.	.	.	.	.	.
.	.	255.255.255.255	ff-ff-ff-ff-ff-ff	static	.	.	.	.	.	.	.
